,recp_name,ligand_name,CACTVS,OpenEye OEToolkits
0,ITAL,2IC,CN1C(=O)N(C(=O)[C@]12CN(C[C@H]2c3ccc(cc3)C#N)Cc4scc(c4)C(O)=O)c5cc(Cl)cc(Cl)c5,CN1C(=O)N(C(=O)[C@]12C[N@](C[C@H]2c3ccc(cc3)C#N)Cc4cc(cs4)C(=O)O)c5cc(cc(c5)Cl)Cl
1,ROCK1,Y27,C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc2ccncc2,C[C@H](C1CCC(CC1)C(=O)Nc2ccncc2)N
2,HMDH,4HI,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(nc1C(=O)NCc2ccccc2)c3ccc(F)cc3,CC(C)c1c(nc(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)C(=O)NCc3ccccc3
3,TRYB1,11N,NCc1ccc2OCC3(CCN(CC3)C(=O)/C=C/c4ccccc4)c2c1,c1ccc(cc1)C=CC(=O)N2CCC3(CC2)COc4c3cc(cc4)CN
4,XIAP,9JZ,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CC[C@H](C)[C@H]2C(=O)Nc3ccccc3c4ncccn4,C[C@H]1CCN([C@@H]1C(=O)Nc2ccccc2c3ncccn3)C(=O)[C@H](C4CCCCC4)NC(=O)[C@H](C)NC
5,ANDR,TES,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
6,MT1,RES,ONC(=O)[C@H](O)[C@H](O)CO[P](O)(O)=O,C([C@H]([C@H](C(=O)NO)O)O)OP(=O)(O)O
7,CSF1R,KRJ,O=C(Nc1ccc(cc1C2=CCCCC2)C3CCNCC3)c4[nH]cc(n4)C#N,c1cc(c(cc1C2CCNCC2)C3=CCCCC3)NC(=O)c4[nH]cc(n4)C#N
8,PTN1,982,OC(=O)COc1c(sc2ncccc12)C(O)=O,c1cc2c(c(sc2nc1)C(=O)O)OCC(=O)O
9,PARP1,A92,NC(=O)c1cccc2nc([nH]c12)c3ccc(cc3F)[C@@H]4CCCCN4,c1cc(c2c(c1)nc([nH]2)c3ccc(cc3F)[C@@H]4CCCCN4)C(=O)N
10,ADRB2,JRZ,CC(C)N[C@@H](C)[C@H](O)COc1ccc(C)c2CCCc12,Cc1ccc(c2c1CCC2)OC[C@H]([C@H](C)NC(C)C)O
11,RENI,A7T,Cc1cc(Cl)c(OCCOc2ccc(cc2)C3=C([C@H]4CNC[C@@H](C3)N4)C(=O)N(Cc5cccc(C)c5C)C6CC6)c(Cl)c1,Cc1cccc(c1C)CN(C2CC2)C(=O)C3=C(C[C@@H]4CNC[C@H]3N4)c5ccc(cc5)OCCOc6c(cc(cc6Cl)C)Cl
12,HS90A,PU2,COc1ccc(OC)c(Cc2[nH]c3c(N)nc(F)nc3n2)c1,COc1ccc(c(c1)Cc2[nH]c3c(nc(nc3n2)F)N)OC
13,CXCR4,ITD,CC1(C)CN2C(=CSC2=N1)CSC(NC3CCCCC3)=NC4CCCCC4,CC1(CN2C(=CSC2=N1)CS/C(=N\C3CCCCC3)/NC4CCCCC4)C
14,DEF,BB2,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO
15,LCK,547,C1CN(CCN1)CCNc2ccnc3oc(c4ccccc4)c(c5ccccc5)c23,c1ccc(cc1)c2c3c(ccnc3oc2c4ccccc4)NCCN5CCNCC5
16,UROK,UI3,COc1ccc2ccc(cc2c1c3cnn(c3)[S](C)(=O)=O)C(N)=N,[H]/N=C(/c1ccc2ccc(c(c2c1)c3cnn(c3)S(=O)(=O)C)OC)\N
