,xtal_name,recp_name
0,2IC,ITAL
1,Y27,ROCK1
2,4HI,HMDH
3,11N,TRYB1
4,9JZ,XIAP
5,TES,ANDR
6,RES,MT1
7,KRJ,CSF1R
8,982,PTN1
9,A92,PARP1
10,JRZ,ADRB2
11,A7T,RENI
12,PU2,HS90A
13,ITD,CXCR4
14,BB2,DEF
15,547,LCK
16,ONO,TRY1
17,UI3,UROK
18,KEU,PUR2
19,SUB,FKB1A
20,UIP,THRB
21,626,PLK1
22,L8I,MAPK2
23,ZMA,AA2AR
24,HUX,ACES
25,T4B,FABP4
26,443,FA10
27,JIN,ABL1
28,AGE,HDAC8
29,STC,AMPC
30,HYZ,EGFR
31,RA2,NRAM
32,413,FA7
33,189,HIVPR
34,BTB,GLCM
35,PD5,SRC
36,DRG,DRD4
37,B49,KIT
38,THM,KITH
39,735,PPARA
40,C4F,FGFR1
41,FR6,ADA
42,19A,MK01
